princeps,interacted_with,verdict
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",METYRAPONE,Précaution d'emploi
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",MEXILETINE,Précaution d'emploi
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",MICONAZOLE,Précaution d'emploi
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",NINTÉDANIB,Précaution d'emploi
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)","PHÉNOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)",A prendre en compte
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",SUCRALFATE,Précaution d'emploi
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",SULFAFURAZOL,Association DECONSEILLEE
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",SULFAMETHIZOL,Association DECONSEILLEE
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",SULFAMETHOXAZOLE,Association DECONSEILLEE
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)",TICLOPIDINE,Précaution d'emploi
"PHÉNYTOÏNE (ET, PAR EXTRAPOLATION, FOSPHÉNYTOÏNE)","VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi
PILOCARPINE,ANTICHOLINESTÉRASIQUES,A prendre en compte
PIMOZIDE,APALUTAMIDE,Association DECONSEILLEE
PIMOZIDE,APREPITANT,CONTRE-INDICATION
PIMOZIDE,DALFOPRISTINE,Association DECONSEILLEE
PIMOZIDE,DILTIAZEM,CONTRE-INDICATION
PIMOZIDE,EFAVIRENZ,CONTRE-INDICATION
PIMOZIDE,FLUCONAZOLE,CONTRE-INDICATION
PIMOZIDE,FLUOXETINE,CONTRE-INDICATION
PIMOZIDE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
PIMOZIDE,JOSAMYCINE,CONTRE-INDICATION
PIMOZIDE,LÉTERMOVIR,CONTRE-INDICATION
PIMOZIDE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
PIMOZIDE,PAROXETINE,CONTRE-INDICATION
PIMOZIDE,QUINUPRISTINE,Association DECONSEILLEE
PIMOZIDE,SERTRALINE,CONTRE-INDICATION
PIMOZIDE,STIRIPENTOL,CONTRE-INDICATION
PIMOZIDE,TRICLABENDAZOLE,CONTRE-INDICATION
PIMOZIDE,VERAPAMIL,CONTRE-INDICATION
PIOGLITAZONE,ANALOGUES DE LA SOMATOSTATINE,Précaution d'emploi
PIOGLITAZONE,GEMFIBROZIL,Association DECONSEILLEE
PIOGLITAZONE,RIFAMPICINE,Précaution d'emploi
PIPÉRACILLINE/TAZOBACTAM,VANCOMYCINE,Association DECONSEILLEE
PIRFENIDONE,FLUVOXAMINE,CONTRE-INDICATION
PITAVASTATINE,CICLOSPORINE,CONTRE-INDICATION
POLYMYXINE B,AMINOSIDES,Association DECONSEILLEE
POLYMYXINE B,CURARES,Précaution d'emploi
POLYSTYRÈNE SULFONATE DE CALCIUM,SORBITOL,CONTRE-INDICATION
POLYSTYRÈNE SULFONATE DE CALCIUM,"TOPIQUES GASTRO-INTESTINAUX, ANTIACIDES ET ADSORBANTS",Précaution d'emploi
POLYSTYRÈNE SULFONATE DE SODIUM,SORBITOL,CONTRE-INDICATION
POLYSTYRÈNE SULFONATE DE SODIUM,"TOPIQUES GASTRO-INTESTINAUX, ANTIACIDES ET ADSORBANTS",Précaution d'emploi
PONATINIB,ATORVASTATINE,Précaution d'emploi
PONATINIB,COLCHICINE,Précaution d'emploi
PONATINIB,DABIGATRAN,Précaution d'emploi
PONATINIB,DIGOXINE,Précaution d'emploi
PONATINIB,METHOTREXATE,Précaution d'emploi
PONATINIB,PRAVASTATINE,Précaution d'emploi
PONATINIB,ROSUVASTATINE,Précaution d'emploi
PONATINIB,SIMVASTATINE,Précaution d'emploi
PONATINIB,SULFASALAZINE,Précaution d'emploi
POSACONAZOLE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
POSACONAZOLE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,Association DECONSEILLEE
POSACONAZOLE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,Association DECONSEILLEE
POSACONAZOLE,ATAZANAVIR,A prendre en compte
POSACONAZOLE,ATORVASTATINE,CONTRE-INDICATION
POSACONAZOLE,DIGOXINE,Précaution d'emploi
POSACONAZOLE,IMMUNOSUPPRESSEURS,Association DECONSEILLEE
POSACONAZOLE,RIFABUTINE,Association DECONSEILLEE
POSACONAZOLE,RIFAMPICINE,Association DECONSEILLEE
POTASSIUM,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,Association DECONSEILLEE
POTASSIUM,CICLOSPORINE,Association DECONSEILLEE
POTASSIUM,DIURÉTIQUES ÉPARGNEURS DE POTASSIUM (SEULS OU ASSOCIÉS),Association DECONSEILLEE
POTASSIUM,INHIBITEURS DE L'ENZYME DE CONVERSION,Association DECONSEILLEE
POTASSIUM,TACROLIMUS,Association DECONSEILLEE
POVIDONE IODÉE,ANTISEPTIQUES MERCURIELS,Association DECONSEILLEE
PRAVASTATINE,CICLOSPORINE,Précaution d'emploi
PRAVASTATINE,CLARITHROMYCINE,Précaution d'emploi
PRAVASTATINE,ERYTHROMYCINE,Précaution d'emploi
PRAVASTATINE,PONATINIB,Précaution d'emploi
PRAZIQUANTEL,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
PRAZIQUANTEL,DEXAMETHASONE,Précaution d'emploi
PRAZIQUANTEL,RIFAMPICINE,CONTRE-INDICATION
PREDNISOLONE,CICLOSPORINE,A prendre en compte
PRÉSERVATIFS EN LATEX,HUILES MINÉRALES,CONTRE-INDICATION
PRIMIDONE,AFATINIB,Précaution d'emploi
PRISTINAMYCINE,ANTIVITAMINES K,Précaution d'emploi
PRISTINAMYCINE,COLCHICINE,CONTRE-INDICATION
PRISTINAMYCINE,IMMUNOSUPPRESSEURS,Précaution d'emploi
PROBENECIDE,ACIDE ACETYLSALICYLIQUE,Association DECONSEILLEE
PROBENECIDE,DIPROPHYLLINE,Précaution d'emploi
PROBENECIDE,METHOTREXATE,CONTRE-INDICATION
PROCARBAZINE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,A prendre en compte
PRODUITS DE CONTRASTE IODÉS,ALDESLEUKINE,A prendre en compte
PRODUITS DE CONTRASTE IODÉS,DIURÉTIQUES,Précaution d'emploi
PRODUITS DE CONTRASTE IODÉS,METFORMINE,CONTRE-INDICATION
PROGESTATIFS CONTRACEPTIFS,APREPITANT,Précaution d'emploi
PROGESTATIFS CONTRACEPTIFS,BOSENTAN,Précaution d'emploi
PROGESTATIFS CONTRACEPTIFS,GRISEOFULVINE,Précaution d'emploi
PROGESTATIFS CONTRACEPTIFS,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
PROGESTATIFS CONTRACEPTIFS,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Association DECONSEILLEE
PROGESTATIFS CONTRACEPTIFS,MILLEPERTUIS,CONTRE-INDICATION
PROGESTATIFS CONTRACEPTIFS,PÉRAMPANEL,Association DECONSEILLEE
PROGESTATIFS CONTRACEPTIFS,ULIPRISTAL,Association DECONSEILLEE
"PROGESTATIFS NON CONTRACEPTIFS, ASSOCIÉS OU NON À UN ESTROGÈNE",BOSENTAN,Précaution d'emploi
"PROGESTATIFS NON CONTRACEPTIFS, ASSOCIÉS OU NON À UN ESTROGÈNE",INDUCTEURS ENZYMATIQUES,Précaution d'emploi
"PROGESTATIFS NON CONTRACEPTIFS, ASSOCIÉS OU NON À UN ESTROGÈNE",ULIPRISTAL,A prendre en compte
PROGUANIL,ANTIVITAMINES K,Précaution d'emploi
PROGUANIL,HORMONES THYROÏDIENNES,Précaution d'emploi
PROPAFENONE,ABIRATERONE,Précaution d'emploi
PROPAFENONE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
PROPAFENONE,BÊTA-BLOQUANTS (SAUF ESMOLOL),Précaution d'emploi
PROPAFENONE,BUPROPION,Précaution d'emploi
PROPAFENONE,CINACALCET,Précaution d'emploi
PROPAFENONE,DARIFENACINE,Précaution d'emploi
PROPAFENONE,DIGOXINE,Précaution d'emploi
PROPAFENONE,DULOXETINE,Précaution d'emploi
PROPAFENONE,ESMOLOL,Précaution d'emploi
PROPAFENONE,MILLEPERTUIS,Précaution d'emploi
PROPAFENONE,MIRABÉGRON,Précaution d'emploi
PROPAFENONE,RIFAMPICINE,Précaution d'emploi
PROPAFENONE,ROLAPITANT,Précaution d'emploi
PROPAFENONE,TERBINAFINE,Précaution d'emploi
PROPAFENONE,THEOPHYLLINE,Précaution d'emploi
PROPRANOLOL,ERGOTAMINE,Précaution d'emploi
PROPRANOLOL,FLUVOXAMINE,Précaution d'emploi
PROPRANOLOL,"PHÉNOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)",A prendre en compte
PROPRANOLOL,RIFAMPICINE,A prendre en compte
PYRAZINAMIDE,ISONIAZIDE,Précaution d'emploi
PYRIMETHAMINE,TRIMETHOPRIME,Précaution d'emploi
QUETIAPINE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
QUETIAPINE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
QUETIAPINE,METHADONE,A prendre en compte
QUETIAPINE,MILLEPERTUIS,Association DECONSEILLEE
QUETIAPINE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
QUETIAPINE,RIFAMPICINE,Association DECONSEILLEE
QUINIDINE,ALCALINISANTS URINAIRES,Précaution d'emploi
QUINIDINE,COBICISTAT,CONTRE-INDICATION
QUINIDINE,DABIGATRAN,Précaution d'emploi
QUINIDINE,DIGOXINE,Précaution d'emploi
QUINIDINE,DRONEDARONE,Précaution d'emploi
QUINIDINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,CONTRE-INDICATION
QUINIDINE,ITRACONAZOLE,Précaution d'emploi
QUINIDINE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
QUINIDINE,STIRIPENTOL,Précaution d'emploi
QUINIDINE,TAMOXIFENE,Association DECONSEILLEE
QUINIDINE,TETRABENAZINE,CONTRE-INDICATION
QUINIDINE,TRICLABENDAZOLE,Précaution d'emploi
QUINIDINE,VERAPAMIL,Association DECONSEILLEE
QUINIDINE,VORICONAZOLE,CONTRE-INDICATION
QUININE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
QUININE,DIGOXINE,Précaution d'emploi
QUININE,INHIBITEURS PUISSANTS DU CYP3A4,ASDEC - PE
QUININE,MEFLOQUINE,Association DECONSEILLEE
QUININE,RIFAMPICINE,Association DECONSEILLEE
QUINUPRISTINE,DIHYDROERGOTAMINE,CONTRE-INDICATION
QUINUPRISTINE,ERGOTAMINE,CONTRE-INDICATION
QUINUPRISTINE,IMMUNOSUPPRESSEURS,Précaution d'emploi
QUINUPRISTINE,PIMOZIDE,Association DECONSEILLEE
RALTÉGRAVIR,RIFAMPICINE,Association DECONSEILLEE
RANOLAZINE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
RANOLAZINE,ATORVASTATINE,Précaution d'emploi
RANOLAZINE,DIGOXINE,Précaution d'emploi
RANOLAZINE,IMMUNOSUPPRESSEURS,Précaution d'emploi
RANOLAZINE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
RANOLAZINE,RIFAMPICINE,Association DECONSEILLEE
RANOLAZINE,SIMVASTATINE,Précaution d'emploi
RÉGORAFÉNIB,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
RÉGORAFÉNIB,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
RÉGORAFÉNIB,MILLEPERTUIS,Association DECONSEILLEE
RÉGORAFÉNIB,PAMPLEMOUSSE (JUS ET FRUIT),Association DECONSEILLEE
REPAGLINIDE,ANALOGUES DE LA SOMATOSTATINE,Précaution d'emploi
REPAGLINIDE,CICLOSPORINE,Association DECONSEILLEE
REPAGLINIDE,CLARITHROMYCINE,Précaution d'emploi
REPAGLINIDE,CLOPIDOGREL,A prendre en compte
REPAGLINIDE,DEFERASIROX,Association DECONSEILLEE
REPAGLINIDE,GEMFIBROZIL,CONTRE-INDICATION
REPAGLINIDE,TRIMETHOPRIME,Association DECONSEILLEE
RESERPINE,IMAO IRRÉVERSIBLES,CONTRE-INDICATION
RESERPINE,LEVODOPA,CONTRE-INDICATION
RÉSINES CHÉLATRICES,MÉDICAMENTS ADMINISTRÉS PAR VOIE ORALE,Précaution d'emploi
RÉSINES CHÉLATRICES,HORMONES THYROÏDIENNES,Précaution d'emploi
RÉTINOÏDES,AUTRES RÉTINOÏDES,CONTRE-INDICATION
RÉTINOÏDES,CYCLINES,CONTRE-INDICATION
RÉTINOÏDES,VITAMINE A,CONTRE-INDICATION
RIBAVIRINE,ANTIPURINES,Association DECONSEILLEE
RIBAVIRINE,DIDANOSINE,Association DECONSEILLEE
RIBAVIRINE,STAVUDINE,Précaution d'emploi
RIBAVIRINE,ZIDOVUDINE,Précaution d'emploi
RIFABUTINE,ATOVAQUONE,A prendre en compte
RIFABUTINE,CLARITHROMYCINE,Précaution d'emploi
RIFABUTINE,COBICISTAT,Précaution d'emploi
RIFABUTINE,EFAVIRENZ,Précaution d'emploi
RIFABUTINE,ELVITÉGRAVIR,A prendre en compte
RIFABUTINE,FLUCONAZOLE,Précaution d'emploi
RIFABUTINE,HORMONES THYROÏDIENNES,Précaution d'emploi
RIFABUTINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
RIFABUTINE,LÉDIPASVIR,CONTRE-INDICATION
RIFABUTINE,POSACONAZOLE,Association DECONSEILLEE
RIFABUTINE,VELPATASVIR,CONTRE-INDICATION
RIFABUTINE,VORICONAZOLE,Association DECONSEILLEE
RIFAMPICINE,ABIRATERONE,Association DECONSEILLEE
RIFAMPICINE,AFATINIB,Précaution d'emploi
RIFAMPICINE,ALBENDAZOLE,Précaution d'emploi
RIFAMPICINE,ANTAGONISTES DES CANAUX CALCIQUES,ASDEC - PE
RIFAMPICINE,ANTIARYTHMIQUES CLASSE IA,Précaution d'emploi
RIFAMPICINE,ANTIVITAMINES K,Précaution d'emploi
RIFAMPICINE,APIXABAN,Association DECONSEILLEE
RIFAMPICINE,APREPITANT,Association DECONSEILLEE
RIFAMPICINE,ATORVASTATINE,Association DECONSEILLEE
RIFAMPICINE,ATOVAQUONE,Association DECONSEILLEE
RIFAMPICINE,BICTÉGRAVIR,CONTRE-INDICATION
RIFAMPICINE,BOSENTAN,Association DECONSEILLEE
RIFAMPICINE,BUSPIRONE,Précaution d'emploi
RIFAMPICINE,CARBAMAZEPINE,Précaution d'emploi
RIFAMPICINE,CARVEDILOL,Précaution d'emploi
RIFAMPICINE,CLARITHROMYCINE,Précaution d'emploi
RIFAMPICINE,CLOZAPINE,Précaution d'emploi
RIFAMPICINE,COBICISTAT,CONTRE-INDICATION
RIFAMPICINE,DABIGATRAN,Association DECONSEILLEE
RIFAMPICINE,DEFERASIROX,Précaution d'emploi
RIFAMPICINE,DÉLAMANID,CONTRE-INDICATION
RIFAMPICINE,DIGOXINE,Précaution d'emploi
RIFAMPICINE,DRONEDARONE,Association DECONSEILLEE
RIFAMPICINE,EFAVIRENZ,Précaution d'emploi
RIFAMPICINE,EXEMESTANE,A prendre en compte
RIFAMPICINE,FENTANYL,Association DECONSEILLEE
RIFAMPICINE,FLUCONAZOLE,Association DECONSEILLEE
RIFAMPICINE,HALOPERIDOL,Précaution d'emploi
RIFAMPICINE,HORMONES THYROÏDIENNES,Précaution d'emploi
RIFAMPICINE,HYDROXYCHLOROQUINE,Précaution d'emploi
RIFAMPICINE,IDÉLALISIB,Association DECONSEILLEE
RIFAMPICINE,INHIBITEURS DE LA 5-ALPHA REDUCTASE,Association DECONSEILLEE
RIFAMPICINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,CONTRE-INDICATION
RIFAMPICINE,INHIBITEURS DES TYROSINE KINASES MÉTABOLISÉS,Association DECONSEILLEE
RIFAMPICINE,ISONIAZIDE,Précaution d'emploi
RIFAMPICINE,IVABRADINE,Précaution d'emploi
RIFAMPICINE,KETOCONAZOLE,Association DECONSEILLEE
RIFAMPICINE,LÉDIPASVIR,CONTRE-INDICATION
RIFAMPICINE,LINEZOLIDE,Précaution d'emploi
RIFAMPICINE,METFORMINE,A prendre en compte
RIFAMPICINE,METOPROLOL,A prendre en compte
RIFAMPICINE,METRONIDAZOLE,Précaution d'emploi
RIFAMPICINE,MIDAZOLAM,Association DECONSEILLEE
RIFAMPICINE,MINÉRALOCORTICOÏDES,Précaution d'emploi
RIFAMPICINE,MONTELUKAST,Précaution d'emploi
RIFAMPICINE,MORPHINE,Précaution d'emploi
RIFAMPICINE,NEVIRAPINE,Association DECONSEILLEE
RIFAMPICINE,NIMODIPINE,Association DECONSEILLEE
RIFAMPICINE,NINTÉDANIB,Précaution d'emploi
RIFAMPICINE,PÉRAMPANEL,A prendre en compte
RIFAMPICINE,PIOGLITAZONE,Précaution d'emploi
RIFAMPICINE,POSACONAZOLE,Association DECONSEILLEE
RIFAMPICINE,PRAZIQUANTEL,CONTRE-INDICATION
RIFAMPICINE,PROPAFENONE,Précaution d'emploi
RIFAMPICINE,PROPRANOLOL,A prendre en compte
RIFAMPICINE,QUETIAPINE,Association DECONSEILLEE
RIFAMPICINE,QUININE,Association DECONSEILLEE
RIFAMPICINE,RALTÉGRAVIR,Association DECONSEILLEE
RIFAMPICINE,RANOLAZINE,Association DECONSEILLEE
RIFAMPICINE,RIVAROXABAN,Association DECONSEILLEE
RIFAMPICINE,SIMVASTATINE,Association DECONSEILLEE
RIFAMPICINE,TELITHROMYCINE,Association DECONSEILLEE
RIFAMPICINE,TÉNOFOVIR ALAFÉNAMIDE,Association DECONSEILLEE
RIFAMPICINE,TERBINAFINE,Précaution d'emploi
RIFAMPICINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",Précaution d'emploi
RIFAMPICINE,TIAGABINE,Précaution d'emploi
RIFAMPICINE,TICAGRELOR,Association DECONSEILLEE
RIFAMPICINE,ULIPRISTAL,Association DECONSEILLEE
RIFAMPICINE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi
RIFAMPICINE,VELPATASVIR,CONTRE-INDICATION
RIFAMPICINE,VITAMINE D,Précaution d'emploi
RIFAMPICINE,VORICONAZOLE,CONTRE-INDICATION
RIFAMPICINE,ZIDOVUDINE,Association DECONSEILLEE
RIFAMPICINE,ZOLPIDEM,Précaution d'emploi
RIFAMPICINE,ZOPICLONE,Précaution d'emploi
RILPIVIRINE,ANTISÉCRÉTOIRES ANTIHISTAMINIQUES H2,A prendre en compte
RILPIVIRINE,ANTISÉCRÉTOIRES INHIBITEURS DE LA POMPE À PROTONS,CONTRE-INDICATION
RILPIVIRINE,DEXAMETHASONE,CONTRE-INDICATION
RILPIVIRINE,INDUCTEURS ENZYMATIQUES,CONTRE-INDICATION
RILPIVIRINE,MILLEPERTUIS,CONTRE-INDICATION
RIOCIGUAT,DÉRIVÉS NITRÉS ET APPARENTÉS,CONTRE-INDICATION
RIOCIGUAT,INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5,CONTRE-INDICATION
RIOCIGUAT,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
RISPERIDONE,CARBAMAZEPINE,Précaution d'emploi
RISPERIDONE,FLUOXETINE,Précaution d'emploi
RISPERIDONE,PAROXETINE,Précaution d'emploi
RIVAROXABAN,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
RIVAROXABAN,FLUCONAZOLE,Association DECONSEILLEE
RIVAROXABAN,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
RIVAROXABAN,RIFAMPICINE,Association DECONSEILLEE
ROLAPITANT,COLCHICINE,Précaution d'emploi
ROLAPITANT,DABIGATRAN,Précaution d'emploi
ROLAPITANT,DIGOXINE,Précaution d'emploi
ROLAPITANT,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
ROLAPITANT,METOPROLOL,Précaution d'emploi
ROLAPITANT,MILLEPERTUIS,CONTRE-INDICATION
ROLAPITANT,PROPAFENONE,Précaution d'emploi
ROLAPITANT,ROSUVASTATINE,Précaution d'emploi
ROLAPITANT,TAMOXIFENE,Association DECONSEILLEE
ROPINIROLE,ANTIVITAMINES K,Précaution d'emploi
ROPINIROLE,CIPROFLOXACINE,Précaution d'emploi
ROPINIROLE,ENOXACINE,Précaution d'emploi
ROPINIROLE,FLUVOXAMINE,Précaution d'emploi
ROSUVASTATINE,CICLOSPORINE,CONTRE-INDICATION
ROSUVASTATINE,INHIBITEURS DE PROTÉASES BOOSTÉS PAR RITONAVIR,Précaution d'emploi
ROSUVASTATINE,PONATINIB,Précaution d'emploi
ROSUVASTATINE,ROLAPITANT,Précaution d'emploi
ROSUVASTATINE,TÉDIZOLIDE,Association DECONSEILLEE
ROSUVASTATINE,VELPATASVIR,Précaution d'emploi
ROXITHROMYCINE,ATORVASTATINE,Précaution d'emploi
ROXITHROMYCINE,CICLOSPORINE,Précaution d'emploi
ROXITHROMYCINE,MIDAZOLAM,A prendre en compte
ROXITHROMYCINE,SIMVASTATINE,Précaution d'emploi
ROXITHROMYCINE,SUBSTANCES SUSCEPTIBLES DE DONNER DES TORSADES DE POINTES,Précaution d'emploi
ROXITHROMYCINE,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",A prendre en compte
RUFINAMIDE,ESTROPROGESTATIFS CONTRACEPTIFS,Précaution d'emploi
RUFINAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi
SACUBITRIL,INHIBITEURS DE L'ENZYME DE CONVERSION,CONTRE-INDICATION
SALMETEROL,ITRACONAZOLE,A prendre en compte
SALMETEROL,KETOCONAZOLE,A prendre en compte
SALMETEROL,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
SELEXIPAG,CLOPIDOGREL,Précaution d'emploi
SELEXIPAG,DEFERASIROX,Précaution d'emploi
SELEXIPAG,GEMFIBROZIL,CONTRE-INDICATION
SELEXIPAG,TÉRIFLUNOMIDE,Précaution d'emploi
SELEXIPAG,TRIMETHOPRIME,Précaution d'emploi
SERTRALINE,INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
SERTRALINE,PAMPLEMOUSSE (JUS ET FRUIT),Association DECONSEILLEE
SERTRALINE,PIMOZIDE,CONTRE-INDICATION
SILDENAFIL,JOSAMYCINE,Précaution d'emploi
SILDENAFIL,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
SILODOSINE,INHIBITEURS PUISSANTS DU CYP3A4,Association DECONSEILLEE
SIMVASTATINE,AMIODARONE,Précaution d'emploi
SIMVASTATINE,AMLODIPINE,Précaution d'emploi
SIMVASTATINE,APALUTAMIDE,Association DECONSEILLEE
SIMVASTATINE,AZITHROMYCINE,Précaution d'emploi
SIMVASTATINE,CARBAMAZEPINE,Association DECONSEILLEE
SIMVASTATINE,CICLOSPORINE,CONTRE-INDICATION
SIMVASTATINE,DANAZOL,CONTRE-INDICATION
SIMVASTATINE,DILTIAZEM,Précaution d'emploi
SIMVASTATINE,DRONEDARONE,Association DECONSEILLEE
SIMVASTATINE,GLÉCAPRÉVIR  PIBRENTASVIR,CONTRE-INDICATION
SIMVASTATINE,INHIBITEURS PUISSANTS DU CYP3A4,CONTRE-INDICATION
SIMVASTATINE,MILLEPERTUIS,Association DECONSEILLEE
SIMVASTATINE,OMBITASVIR  PARITAPRÉVIR,CONTRE-INDICATION
SIMVASTATINE,PAMPLEMOUSSE (JUS ET FRUIT),Association DECONSEILLEE
SIMVASTATINE,PONATINIB,Précaution d'emploi
SIMVASTATINE,RANOLAZINE,Précaution d'emploi
SIMVASTATINE,RIFAMPICINE,Association DECONSEILLEE
SIMVASTATINE,ROXITHROMYCINE,Précaution d'emploi
SIMVASTATINE,STIRIPENTOL,CONTRE-INDICATION
SIMVASTATINE,VERAPAMIL,Précaution d'emploi
SIROLIMUS,CICLOSPORINE,Précaution d'emploi
SIROLIMUS,INHIBITEURS DE L'ENZYME DE CONVERSION,A prendre en compte
SIROLIMUS,OMBITASVIR  PARITAPRÉVIR,Association DECONSEILLEE
SIROLIMUS,VERAPAMIL,Précaution d'emploi
SODIUM (BICARBONATE DE),LITHIUM,Précaution d'emploi
SODIUM (CHLORURE DE),LITHIUM,Précaution d'emploi
SOFOSBUVIR,AMIODARONE,Association DECONSEILLEE
SOFOSBUVIR,INDUCTEURS ENZYMATIQUES,CIASDEC
SOFOSBUVIR,MILLEPERTUIS,CONTRE-INDICATION
SORBITOL,LAMIVUDINE,Association DECONSEILLEE
SORBITOL,POLYSTYRÈNE SULFONATE DE CALCIUM,CONTRE-INDICATION
SORBITOL,POLYSTYRÈNE SULFONATE DE SODIUM,CONTRE-INDICATION
SPERMICIDES,MÉDICAMENTS UTILISÉS PAR VOIE VAGINALE,Association DECONSEILLEE
SPIRAMYCINE,LEVODOPA,Précaution d'emploi
SPIRONOLACTONE,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi
SPIRONOLACTONE,MITOTANE,CONTRE-INDICATION
STAVUDINE,ISONIAZIDE,Précaution d'emploi
STAVUDINE,PENTAMIDINE,Précaution d'emploi
STAVUDINE,RIBAVIRINE,Précaution d'emploi
STAVUDINE,THALIDOMIDE,Précaution d'emploi
STAVUDINE,ZIDOVUDINE,Association DECONSEILLEE
STIRIPENTOL,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Précaution d'emploi
STIRIPENTOL,ATORVASTATINE,CONTRE-INDICATION
STIRIPENTOL,CAFEINE,Précaution d'emploi
STIRIPENTOL,CLOBAZAM,Précaution d'emploi
STIRIPENTOL,DIAZEPAM,Précaution d'emploi
STIRIPENTOL,DIHYDROERGOTAMINE,CONTRE-INDICATION
STIRIPENTOL,ERGOTAMINE,CONTRE-INDICATION
STIRIPENTOL,HALOFANTRINE,Association DECONSEILLEE
STIRIPENTOL,IMMUNOSUPPRESSEURS,CONTRE-INDICATION
STIRIPENTOL,MIDAZOLAM,Précaution d'emploi
STIRIPENTOL,PIMOZIDE,CONTRE-INDICATION
STIRIPENTOL,QUINIDINE,Précaution d'emploi
STIRIPENTOL,SIMVASTATINE,CONTRE-INDICATION
STIRIPENTOL,"THÉOPHYLLINE (ET, PAR EXTRAPOLATION, AMINOPHYLLINE)",Précaution d'emploi
STRONTIUM,CALCIUM,Précaution d'emploi
STRONTIUM,CYCLINES,Précaution d'emploi
STRONTIUM,FER,Précaution d'emploi
STRONTIUM,FLUOROQUINOLONES,Précaution d'emploi
STRONTIUM,ZINC,Précaution d'emploi
"SUBSTANCES À ABSORPTION RÉDUITE PAR LES TOPIQUES GASTRO-INTESTINAUX, ANTIACIDES ET ADSORBANTS","TOPIQUES GASTRO-INTESTINAUX, ANTIACIDES ET ADSORBANTS",ASDEC - PE
